Webcast Name,Webcast Date,Speaker,Topic,Product,Attendee,Invitee,Registrant,Session Duration,Email Address
Webcast_30,2024-09-21,Speaker C,Portfolio Management,Global ESG Fund,0,0,1,116.2,feliciakennedy@simon-morales.com
Webcast_31,2024-07-10,Speaker B,Market Trends,Dynamic Income ETF,1,0,1,42,julie27@taylor-erickson.com
Webcast_32,2024-07-29,Speaker C,Investment Strategies,Dynamic Income ETF,0,0,1,102.4,dconner@graves-chapman.com
Webcast_33,2024-07-11,Speaker B,Market Trends,Real Estate Growth Fund,0,0,1,45.1,nrose@gordonwintersandgomez.com
Webcast_34,2024-11-13,Speaker C,Portfolio Management,Dynamic Income ETF,0,0,0,61.6,caseydavid@martinllc.com
Webcast_35,2024-06-18,Speaker C,Market Trends,Global ESG Fund,1,0,0,100.7,fvega@williams-fleming.com
Webcast_36,2024-08-06,Speaker A,Investment Strategies,Fixed Income Opportunity Fund,0,0,1,113.8,elizabethshaffer@warrengroup.com
Webcast_37,2024-09-15,Speaker C,Portfolio Management,Dynamic Income ETF,1,1,0,71.8,shannon61@becker-phillips.com
Webcast_38,2024-11-11,Speaker C,Market Trends,Global ESG Fund,0,1,0,57.9,wilkersongregory@smithsmithandgriffin.com
Webcast_39,2024-11-12,Speaker B,Market Trends,Global ESG Fund,1,0,1,41.3,jonesmelissa@martinez-mcmahon.com
Webcast_40,2024-08-04,Speaker B,Market Trends,Real Estate Growth Fund,0,1,0,98.6,jonesmelissa@martinez-mcmahon.com
Webcast_41,2024-06-14,Speaker A,Investment Strategies,Fixed Income Opportunity Fund,1,1,1,112,iross@schneiderinc.com
Webcast_42,2024-09-29,Speaker B,Investment Strategies,Real Estate Growth Fund,0,1,0,86.2,penningtontristan@nguyenclarkandwilliams.com
Webcast_43,2024-08-02,Speaker C,Investment Strategies,Global Equity Fund,1,1,0,84,jessicaelliott@fitzpatrick-smith.com
Webcast_44,2024-10-15,Speaker A,Market Trends,Fixed Income Opportunity Fund,0,0,0,50.2,eanderson@harringtonbanksandhill.com
Webcast_45,2024-07-10,Speaker B,Market Trends,Real Estate Growth Fund,0,0,1,80.2,catherinewilliams@leellc.com
Webcast_46,2024-10-20,Speaker C,Investment Strategies,Global Equity Fund,1,1,1,82.2,ykim@ingraminc.com
Webcast_47,2024-07-14,Speaker A,Investment Strategies,Global ESG Fund,1,0,1,59.8,mary27@carneyspencerandsantos.com
Webcast_48,2024-07-16,Speaker C,Portfolio Management,Dynamic Income ETF,0,1,0,50.8,nrose@gordonwintersandgomez.com
Webcast_49,2024-08-07,Speaker C,Investment Strategies,Global ESG Fund,0,0,1,80,erikathompson@hopkins-burgess.com
Webcast_50,2024-09-08,Speaker C,Market Trends,Global ESG Fund,1,1,1,39.2,colemandaniel@benjaminlyonsandsimon.com
Webcast_51,2024-12-28,Speaker A,Market Trends,Global Equity Fund,1,0,0,52,greeramy@garciahayesandbaker.com
Webcast_52,2024-06-30,Speaker B,Investment Strategies,Global ESG Fund,1,0,1,82.6,rogersjennifer@bakerplc.com
Webcast_53,2024-09-07,Speaker A,Portfolio Management,Fixed Income Opportunity Fund,1,0,0,111.7,walter26@farrellericksonandfrost.com
Webcast_54,2024-11-15,Speaker B,Market Trends,Real Estate Growth Fund,1,1,1,73.5,elizabethshaffer@warrengroup.com
Webcast_55,2024-10-02,Speaker B,Market Trends,Fixed Income Opportunity Fund,0,1,0,76.5,mccartyrichard@waltonwebsterandpatrick.com
Webcast_56,2024-10-21,Speaker B,Investment Strategies,Global Equity Fund,1,0,1,68.5,victoria57@parker-cox.com
Webcast_57,2024-11-12,Speaker C,Market Trends,Global Equity Fund,1,1,1,61.5,banderson@jordanltd.com
Webcast_58,2024-08-20,Speaker C,Portfolio Management,Fixed Income Opportunity Fund,1,1,0,117.9,diane68@woods-anderson.com
Webcast_59,2024-07-05,Speaker C,Portfolio Management,Global ESG Fund,1,1,1,88.6,
Webcast_60,2024-09-04,Speaker B,Portfolio Management,Real Estate Growth Fund,0,1,0,31.4,jennifergutierrez@anderson-clark.com
Webcast_61,2024-06-25,Speaker C,Investment Strategies,Global ESG Fund,0,0,1,33.4,shannon61@becker-phillips.com
Webcast_62,2024-08-18,Speaker C,Investment Strategies,Global Equity Fund,1,0,1,105.2,brooksjose@gonzalez-holland.com
Webcast_63,2024-06-10,Speaker C,Investment Strategies,Global ESG Fund,1,0,1,31.1,barrychapman@harrelllongandduran.com
Webcast_64,2024-11-22,Speaker B,Investment Strategies,Global ESG Fund,1,0,1,55.1,tinaterry@shawbaileyandsmith.com
Webcast_65,2024-10-26,Speaker A,Portfolio Management,Fixed Income Opportunity Fund,0,0,1,82,meganvaldez@evanshowellandyoung.com
Webcast_66,2024-09-06,Speaker B,Market Trends,Fixed Income Opportunity Fund,1,0,1,108.4,fvega@williams-fleming.com
Webcast_67,2024-09-01,Speaker A,Market Trends,Global Equity Fund,0,1,0,117.5,colemanivan@cookhowardandrandall.com
Webcast_68,2024-11-23,Speaker A,Market Trends,Global ESG Fund,0,1,0,110.7,christina22@friedmanmartinezandmeyers.com
Webcast_69,2024-09-12,Speaker C,Market Trends,Real Estate Growth Fund,0,0,0,64.8,vasquezerica@stronggonzalezandmorales.com
Webcast_70,2024-08-07,Speaker A,Investment Strategies,Global Equity Fund,0,0,0,110.3,mary27@carneyspencerandsantos.com
Webcast_71,2024-06-08,Speaker A,Portfolio Management,Global Equity Fund,1,1,1,109.2,hhatfield@hillbatesandkelly.com
Webcast_72,2024-06-28,Speaker A,Investment Strategies,Dynamic Income ETF,0,0,0,52.3,cameronthomas@richmondowensandromero.com
Webcast_73,2024-06-08,Speaker C,Market Trends,Dynamic Income ETF,1,1,0,62.8,
Webcast_74,2024-10-28,Speaker A,Market Trends,Dynamic Income ETF,1,1,1,109.3,bradcurtis@long-molina.com
Webcast_75,2024-09-15,Speaker B,Investment Strategies,Dynamic Income ETF,0,0,0,39.7,bakerjared@pena-roberts.com
Webcast_76,2024-12-19,Speaker C,Investment Strategies,Real Estate Growth Fund,1,0,1,91.9,williamshelton@gibsonwelchandtaylor.com
Webcast_77,2024-07-08,Speaker B,Market Trends,Fixed Income Opportunity Fund,0,0,0,90.5,evanslindsay@wardplc.com
Webcast_78,2024-10-21,Speaker C,Market Trends,Dynamic Income ETF,0,0,1,61.4,
Webcast_79,2024-10-29,Speaker C,Portfolio Management,Real Estate Growth Fund,0,1,1,37.3,christina05@campbellhillandparrish.com
Webcast_80,2024-07-14,Speaker A,Portfolio Management,Real Estate Growth Fund,1,0,1,61,hhatfield@hillbatesandkelly.com
Webcast_81,2024-12-10,Speaker A,Investment Strategies,Dynamic Income ETF,1,1,0,63.8,williamscarmen@fox-chen.com
Webcast_82,2024-08-10,Speaker A,Investment Strategies,Dynamic Income ETF,0,0,1,45.4,aaron93@cortez-howell.com
Webcast_83,2024-07-24,Speaker A,Portfolio Management,Global ESG Fund,1,1,1,118.2,heather68@adamsrogersandwebb.com
Webcast_84,2024-11-03,Speaker B,Market Trends,Real Estate Growth Fund,0,0,0,108,fbrown@keith-sims.com
Webcast_85,2024-12-05,Speaker A,Portfolio Management,Real Estate Growth Fund,1,1,0,64.9,ykim@ingraminc.com
Webcast_86,2024-07-10,Speaker C,Portfolio Management,Global ESG Fund,0,1,1,110.6,lauren40@jameslynnandoneill.com
Webcast_87,2024-10-21,Speaker C,Portfolio Management,Global ESG Fund,1,0,1,113.5,llarsen@rowlandhernandezandarnold.com
Webcast_88,2024-08-10,Speaker A,Portfolio Management,Real Estate Growth Fund,0,1,0,73.9,tamarahernandez@mitchellandsons.com
Webcast_89,2024-09-08,Speaker B,Investment Strategies,Global Equity Fund,1,0,1,99.1,marcusmay@deanllc.com
Webcast_90,2024-07-25,Speaker B,Investment Strategies,Global Equity Fund,0,1,0,97.1,moorekevin@walsh-pruitt.com
Webcast_91,2024-07-09,Speaker B,Investment Strategies,Global Equity Fund,0,1,0,78.7,mccartyrichard@waltonwebsterandpatrick.com
Webcast_92,2024-08-26,Speaker A,Portfolio Management,Real Estate Growth Fund,0,1,0,52.3,craig06@smith-cole.com
Webcast_93,2024-09-24,Speaker A,Portfolio Management,Global ESG Fund,1,0,0,54.4,jeffersoncathy@kimsparksandmontgomery.com
Webcast_94,2024-06-07,Speaker A,Market Trends,Global Equity Fund,0,0,1,112.2,emilyrobinson@dunnvillarrealandcastro.com
Webcast_95,2024-07-13,Speaker A,Investment Strategies,Real Estate Growth Fund,1,0,1,39.9,deanmckenzie@simpsonplc.com
Webcast_96,2024-06-26,Speaker C,Investment Strategies,Real Estate Growth Fund,0,1,0,68.7,elizabethshaffer@warrengroup.com
Webcast_97,2024-07-21,Speaker A,Investment Strategies,Dynamic Income ETF,1,0,1,59.9,michaelbriggs@rogersgroup.com
Webcast_98,2024-09-12,Speaker A,Market Trends,Global ESG Fund,0,1,1,77.3,marcusmay@deanllc.com
Webcast_99,2024-07-20,Speaker C,Market Trends,Dynamic Income ETF,1,0,0,70.2,xcarpenter@medinagreeneandthompson.com
