Email Address,URL,Event Type,Engagement Time (sec),Traffic Medium,Traffic Source,Date
deanmckenzie@simpsonplc.com,https://assetmanagement.com/video/market-trends,Video View,257,Paid,Newsletter,28-09-2024
karafuentes@williamsplc.com,https://assetmanagement.com/contact-us,Form Submission,230,Paid,Newsletter,31-10-2024
kenneth60@clark-cox.com,https://assetmanagement.com/about-us,Page View,41,Referral,Google,28-09-2024
kreed@wrightmannandcook.com,https://assetmanagement.com/products/real-estate,Product View,277,Organic,Newsletter,06-12-2024
kimberly72@scottgrimesandsoto.com,https://assetmanagement.com/insights/quarterly-report,Page View,112,Direct,Twitter,14-10-2024
daniel44@harriswoodsandjones.com,https://assetmanagement.com/video/investment-strategies,Video View,289,Email,Newsletter Campaign,02-06-2024
karafuentes@williamsplc.com,https://assetmanagement.com/insights,Page View,295,Organic,Twitter,02-06-2024
shawlance@rodrigueztaylorandmeyers.com,https://assetmanagement.com/products/etf,Product View,178,Direct,Twitter,30-08-2024
donnamclaughlin@youngtaylorandharris.com,https://assetmanagement.com/products/esg,Product View,211,Referral,Twitter,22-09-2024
jessicaelliott@fitzpatrick-smith.com,https://assetmanagement.com/products/fixed-income,Product View,236,Direct,Twitter,03-09-2024
billy40@wright-parker.com,https://assetmanagement.com/video/market-trends,Video View,245,Referral,Newsletter,28-09-2024
joneskaren@rodriguezltd.com,https://assetmanagement.com/contact-us,Form Submission,58,Email,Newsletter Campaign,25-06-2024
amanda01@williams-austin.com,https://assetmanagement.com/about-us,Page View,34,Email,Newsletter Campaign,08-06-2024
ediaz@leeltd.com,https://assetmanagement.com/products/real-estate,Product View,103,Direct,Google,22-06-2024
nataliecarter@strongltd.com,https://assetmanagement.com/insights/quarterly-report,Page View,72,Referral,Twitter,16-10-2024
greeramy@garciahayesandbaker.com,https://assetmanagement.com/video/investment-strategies,Video View,85,Organic,LinkedIn,11-08-2024
david71@harding-lee.com,https://assetmanagement.com/insights,Page View,129,Direct,Twitter,04-11-2024
vcharles@guzman-cook.com,https://assetmanagement.com/products/etf,Product View,116,Referral,Newsletter,16-06-2024
omunoz@curtisltd.com,https://assetmanagement.com/products/esg,Product View,31,Organic,LinkedIn,08-08-2024
dpineda@gonzalez-fields.com,https://assetmanagement.com/products/fixed-income,Product View,185,Referral,Newsletter,02-09-2024
cooperthomas@king-peterson.com,https://assetmanagement.com/video/market-trends,Video View,290,Email,Newsletter Campaign,16-06-2024
james61@carsonpeckandaguirre.com,https://assetmanagement.com/contact-us,Form Submission,30,Email,Newsletter Campaign,16-06-2024
pcoleman@hess-marsh.com,https://assetmanagement.com/about-us,Page View,290,Direct,Google,25-09-2024
kevin02@hoodharrisonandblackwell.com,https://assetmanagement.com/products/real-estate,Product View,169,Direct,LinkedIn,26-06-2024
hobrien@jenkinsrobinsonandduran.com,https://assetmanagement.com/insights/quarterly-report,Page View,295,Direct,Twitter,22-07-2024
kthomas@johnsonhernandezandrowe.com,https://assetmanagement.com/video/investment-strategies,Video View,160,Email,Newsletter Campaign,11-11-2024
wilkersongregory@smithsmithandgriffin.com,https://assetmanagement.com/insights,Page View,148,Paid,Newsletter,06-01-2025
gilesnicole@gonzalezltd.com,https://assetmanagement.com/products/etf,Product View,176,Organic,Twitter,13-10-2024
marc69@dickerson-krueger.com,https://assetmanagement.com/products/esg,Product View,191,Direct,Twitter,17-12-2024
bairdpeter@mcdanielltd.com,https://assetmanagement.com/products/fixed-income,Product View,173,Paid,Newsletter,28-08-2024
rbrown@saunderskellyandweber.com,https://assetmanagement.com/video/market-trends,Video View,280,Email,Newsletter Campaign,20-09-2024
jennifer85@jonesgroup.com,https://assetmanagement.com/contact-us,Form Submission,261,Direct,Twitter,06-11-2024
christopher73@lyonsgroup.com,https://assetmanagement.com/about-us,Page View,196,Direct,Newsletter,11-09-2024
scottjoyce@lopezmooreandwilliamson.com,https://assetmanagement.com/products/real-estate,Product View,244,Organic,Google,07-12-2024
meganvaldez@evanshowellandyoung.com,https://assetmanagement.com/insights/quarterly-report,Page View,295,Paid,LinkedIn,07-10-2024
ysingh@morrisinc.com,https://assetmanagement.com/video/investment-strategies,Video View,216,Paid,Newsletter,03-11-2024
scarr@sullivankhanandjacobs.com,https://assetmanagement.com/insights,Page View,92,Paid,Google,15-09-2024
kevingarcia@williamsllc.com,https://assetmanagement.com/products/etf,Product View,231,Referral,LinkedIn,04-10-2024
jamierandall@mendeztuckerandwalters.com,https://assetmanagement.com/products/esg,Product View,284,Organic,Google,16-07-2024
kyle39@kane-steele.com,https://assetmanagement.com/products/fixed-income,Product View,35,Direct,Newsletter,23-11-2024
michaelhernandez@donaldsonandsons.com,https://assetmanagement.com/video/market-trends,Video View,296,Email,Newsletter Campaign,01-12-2024
christophersmith@smithmendozaandkelly.com,https://assetmanagement.com/contact-us,Form Submission,134,Paid,Newsletter,22-09-2024
ediaz@leeltd.com,https://assetmanagement.com/about-us,Page View,42,Email,Newsletter Campaign,10-11-2024
mmartinez@jonesplc.com,https://assetmanagement.com/insights,Page View,137,Organic,Google,31-12-2024
davischristine@garciapaceandyoung.com,https://assetmanagement.com/insights/quarterly-report,Page View,164,Organic,Newsletter,30-10-2024
camachodon@jackson-charles.com,https://assetmanagement.com/video/investment-strategies,Video View,37,Referral,Twitter,22-06-2024
bsimpson@woodsjacobsandbeard.com,https://assetmanagement.com/insights,Page View,173,Direct,Twitter,16-07-2024
shannon61@becker-phillips.com,https://assetmanagement.com/products/etf,Product View,36,Organic,Google,11-12-2024
kbarker@johnsonkrauseandelliott.com,https://assetmanagement.com/products/esg,Product View,170,Paid,LinkedIn,31-10-2024
wallaceheidi@jones-warren.com,https://assetmanagement.com/products/fixed-income,Product View,292,Paid,Google,31-07-2024
wdelacruz@hillandsons.com,https://assetmanagement.com/video/market-trends,Video View,198,Organic,Google,19-09-2024
ruizrichard@collinsllc.com,https://assetmanagement.com/contact-us,Form Submission,98,Paid,Newsletter,25-06-2024
eparker@aliwhiteandkim.com,https://assetmanagement.com/about-us,Page View,199,Referral,LinkedIn,16-09-2024
llarsen@rowlandhernandezandarnold.com,https://assetmanagement.com/products/real-estate,Product View,132,Paid,Google,14-07-2024
ashley99@wolfskinnerandbarrera.com,https://assetmanagement.com/insights/quarterly-report,Page View,112,Paid,Google,06-08-2024
christina76@taylorcookandwilliams.com,https://assetmanagement.com/video/investment-strategies,Video View,290,Referral,Newsletter,21-10-2024
shawlance@rodrigueztaylorandmeyers.com,https://assetmanagement.com/insights,Page View,125,Email,Newsletter Campaign,11-12-2024
penningtontristan@nguyenclarkandwilliams.com,https://assetmanagement.com/products/etf,Product View,113,Paid,Twitter,05-11-2024
rhurst@larsongroup.com,https://assetmanagement.com/products/esg,Product View,228,Organic,Newsletter,24-11-2024
toniaustin@lee-wu.com,https://assetmanagement.com/products/fixed-income,Product View,114,Direct,Google,31-10-2024
joneskaren@rodriguezltd.com,https://assetmanagement.com/video/market-trends,Video View,247,Referral,Google,22-07-2024
nrose@gordonwintersandgomez.com,https://assetmanagement.com/contact-us,Form Submission,231,Direct,Twitter,22-09-2024
thomasfitzpatrick@williamsandsons.com,https://assetmanagement.com/about-us,Page View,208,Referral,Twitter,28-07-2024
ericduncan@levyinc.com,https://assetmanagement.com/products/real-estate,Product View,181,Referral,LinkedIn,29-07-2024
nataliecarter@strongltd.com,https://assetmanagement.com/insights/quarterly-report,Page View,117,Referral,Twitter,16-11-2024
kpeterson@fergusonmooreandwalker.com,https://assetmanagement.com/video/investment-strategies,Video View,282,Direct,Google,18-12-2024
stefanierice@huntandsons.com,https://assetmanagement.com/insights,Page View,67,Direct,LinkedIn,27-11-2024
tammy97@reyesandsons.com,https://assetmanagement.com/products/etf,Product View,218,Referral,Twitter,27-09-2024
debbiefisher@morganrichardsonandmccoy.com,https://assetmanagement.com/products/esg,Product View,62,Direct,Google,18-11-2024
fvega@williams-fleming.com,https://assetmanagement.com/products/fixed-income,Product View,291,Referral,Twitter,01-06-2024
christopher73@lyonsgroup.com,https://assetmanagement.com/video/market-trends,Video View,165,Direct,Twitter,25-10-2024
cooperthomas@king-peterson.com,https://assetmanagement.com/contact-us,Form Submission,278,Direct,LinkedIn,13-12-2024
kenneth60@clark-cox.com,https://assetmanagement.com/about-us,Page View,151,Direct,Newsletter,27-11-2024
lisamarshall@ingramgloverandroberts.com,https://assetmanagement.com/products/real-estate,Product View,191,Organic,Google,19-12-2024
taylor76@smithandsons.com,https://assetmanagement.com/insights/quarterly-report,Page View,73,Organic,Google,19-09-2024
bradley42@mcdowell-steele.com,https://assetmanagement.com/video/investment-strategies,Video View,294,Email,Newsletter Campaign,18-12-2024
cameronthomas@richmondowensandromero.com,https://assetmanagement.com/insights,Page View,55,Email,Newsletter Campaign,29-11-2024
earl91@anderson-watson.com,https://assetmanagement.com/products/etf,Product View,163,Email,Newsletter Campaign,28-07-2024
daniel44@harriswoodsandjones.com,https://assetmanagement.com/products/esg,Product View,171,Referral,Twitter,22-07-2024
jwalker@thomasplc.com,https://assetmanagement.com/products/fixed-income,Product View,149,Direct,Google,01-09-2024
robert77@williams-cummings.com,https://assetmanagement.com/video/market-trends,Video View,43,Organic,LinkedIn,10-12-2024
millersarah@brown-rodriguez.com,https://assetmanagement.com/contact-us,Form Submission,98,Paid,Newsletter,01-06-2024
tinaterry@shawbaileyandsmith.com,https://assetmanagement.com/about-us,Page View,215,Paid,Newsletter,05-10-2024
fbrown@keith-sims.com,https://assetmanagement.com/products/real-estate,Product View,170,Paid,LinkedIn,12-07-2024
mariacollins@pattersonyatesandfox.com,https://assetmanagement.com/insights/quarterly-report,Page View,122,Direct,Newsletter,29-08-2024
hubbardtyler@caldwell-salinas.com,https://assetmanagement.com/products/esg,Product View,161,Referral,Newsletter,28-12-2024
david71@harding-lee.com,https://assetmanagement.com/insights,Page View,97,Direct,LinkedIn,11-11-2024
jody98@webbpowellandtucker.com,https://assetmanagement.com/products/etf,Product View,112,Referral,Twitter,02-01-2025
colemandaniel@benjaminlyonsandsimon.com,https://assetmanagement.com/products/esg,Product View,104,Referral,LinkedIn,08-12-2024
mathismisty@carsonandsons.com,https://assetmanagement.com/products/fixed-income,Product View,101,Direct,Google,14-09-2024
joneskaren@rodriguezltd.com,https://assetmanagement.com/video/market-trends,Video View,202,Email,Newsletter Campaign,21-06-2024
omunoz@curtisltd.com,https://assetmanagement.com/contact-us,Form Submission,88,Organic,Google,30-10-2024
ruth02@armstrongplc.com,https://assetmanagement.com/about-us,Page View,36,Organic,Newsletter,10-09-2024
kristen09@graygroup.com,https://assetmanagement.com/products/real-estate,Product View,147,Organic,Twitter,23-10-2024
ryan57@patelinc.com,https://assetmanagement.com/insights/quarterly-report,Page View,178,Direct,Twitter,15-09-2024
bowerskimberly@harrellwongandwilliams.com,https://assetmanagement.com/video/investment-strategies,Video View,230,Organic,Twitter,20-07-2024
gillchristian@cowanmooreandgarcia.com,https://assetmanagement.com/insights,Page View,226,Email,Newsletter Campaign,15-11-2024
rcampbell@rossyatesandnelson.com,https://assetmanagement.com/products/etf,Product View,184,Organic,Google,05-08-2024
karafuentes@williamsplc.com,https://assetmanagement.com/products/esg,Product View,225,Direct,Newsletter,10-12-2024
angelsheppard@forbesltd.com,https://assetmanagement.com/products/fixed-income,Product View,80,Referral,Google,06-09-2024
deanmckenzie@simpsonplc.com,https://assetmanagement.com/video/market-trends,Video View,91,Organic,Google,26-09-2024
billy40@wright-parker.com,https://assetmanagement.com/contact-us,Form Submission,175,Direct,Newsletter,08-09-2024
hobrien@jenkinsrobinsonandduran.com,https://assetmanagement.com/about-us,Page View,226,Referral,Google,04-09-2024
sburnett@larsonandsons.com,https://assetmanagement.com/products/etf/prospectus,Download,132,Direct,Newsletter,31-12-2024
davidnichols@bell-montes.com,https://assetmanagement.com/insights/quarterly-report,Page View,232,Paid,Newsletter,30-11-2024
jcook@savage-calhoun.com,https://assetmanagement.com/video/investment-strategies,Video View,104,Direct,Twitter,20-09-2024
elizabethshaffer@warrengroup.com,https://assetmanagement.com/insights,Page View,164,Organic,Google,16-08-2024
osmith@hendersoninc.com,https://assetmanagement.com/products/etf,Product View,52,Email,Newsletter Campaign,24-11-2024
stewartmegan@gamblellc.com,https://assetmanagement.com/products/esg,Product View,130,Paid,LinkedIn,07-12-2024
michaelbriggs@rogersgroup.com,https://assetmanagement.com/products/fixed-income,Product View,144,Organic,Google,28-06-2024
camachodon@jackson-charles.com,https://assetmanagement.com/video/market-trends,Video View,117,Organic,Google,04-06-2024
davischristine@garciapaceandyoung.com,https://assetmanagement.com/contact-us,Form Submission,158,Direct,Newsletter,06-10-2024
davidnichols@bell-montes.com,https://assetmanagement.com/about-us,Page View,160,Paid,Newsletter,22-06-2024
mmartinez@jonesplc.com,https://assetmanagement.com/products/real-estate,Product View,37,Referral,Newsletter,28-12-2024
gary92@camachoinc.com,https://assetmanagement.com/insights/quarterly-report,Page View,92,Direct,Newsletter,27-11-2024
cheryl98@davisinc.com,https://assetmanagement.com/video/investment-strategies,Video View,33,Paid,Newsletter,12-11-2024
robert08@jonesevansandallen.com,https://assetmanagement.com/insights,Page View,189,Email,Newsletter Campaign,01-11-2024
wilkersongregory@smithsmithandgriffin.com,https://assetmanagement.com/products/etf,Product View,203,Organic,LinkedIn,25-11-2024
angelsheppard@forbesltd.com,https://assetmanagement.com/products/esg,Product View,70,Direct,Google,11-11-2024
kayla73@mooreandsons.com,https://assetmanagement.com/products/fixed-income,Product View,96,Organic,LinkedIn,25-06-2024
michaelyoung@leeshawandhall.com,https://assetmanagement.com/video/market-trends,Video View,270,Email,Newsletter Campaign,02-11-2024
omunoz@curtisltd.com,https://assetmanagement.com/contact-us,Form Submission,150,Email,Newsletter Campaign,11-06-2024
afowler@nixongroup.com,https://assetmanagement.com/about-us,Page View,265,Organic,Google,26-10-2024
joneskaren@rodriguezltd.com,https://assetmanagement.com/products/real-estate,Product View,222,Organic,Newsletter,28-06-2024
lisamarshall@ingramgloverandroberts.com,https://assetmanagement.com/insights/quarterly-report,Page View,221,Referral,Google,27-11-2024
brooksjose@gonzalez-holland.com,https://assetmanagement.com/video/investment-strategies,Video View,220,Direct,Newsletter,26-11-2024
bdavis@perkinswoodandking.com,https://assetmanagement.com/insights,Page View,117,Organic,Newsletter,03-12-2024
bradley42@mcdowell-steele.com,https://assetmanagement.com/products/etf,Product View,109,Referral,Google,04-12-2024
longkimberly@roberts-campbell.com,https://assetmanagement.com/products/esg,Product View,293,Organic,LinkedIn,19-09-2024
wilkersongregory@smithsmithandgriffin.com,https://assetmanagement.com/products/fixed-income,Product View,246,Referral,LinkedIn,23-08-2024
mathismisty@carsonandsons.com,https://assetmanagement.com/video/market-trends,Video View,59,Referral,Newsletter,04-12-2024
jcook@savage-calhoun.com,https://assetmanagement.com/contact-us,Form Submission,44,Email,Newsletter Campaign,06-12-2024
vcharles@guzman-cook.com,https://assetmanagement.com/about-us,Page View,223,Organic,Google,08-06-2024
banderson@jordanltd.com,https://assetmanagement.com/products/real-estate,Product View,247,Organic,Google,13-10-2024
robert77@williams-cummings.com,https://assetmanagement.com/insights/quarterly-report,Page View,243,Paid,Google,09-12-2024
gillchristian@cowanmooreandgarcia.com,https://assetmanagement.com/video/investment-strategies,Video View,257,Email,Newsletter Campaign,01-08-2024
qwall@hanna-sloan.com,https://assetmanagement.com/insights,Page View,257,Organic,LinkedIn,01-06-2024
stephenvazquez@smithinc.com,https://assetmanagement.com/products/etf,Product View,152,Direct,Newsletter,24-11-2024
jennifergutierrez@anderson-clark.com,https://assetmanagement.com/video/investment-strategies,Video View,154,Organic,Newsletter,25-12-2024
fgriffith@wellslewisandjohnson.com,https://assetmanagement.com/products/fixed-income,Product View,83,Email,Newsletter Campaign,22-08-2024
michaelyoung@leeshawandhall.com,https://assetmanagement.com/video/market-trends,Video View,64,Referral,Newsletter,08-10-2024
billy40@wright-parker.com,https://assetmanagement.com/contact-us,Form Submission,135,Organic,Google,26-09-2024
stephenvazquez@smithinc.com,https://assetmanagement.com/about-us,Page View,88,Paid,Newsletter,09-10-2024
johnsonmisty@chamberspageandwhitaker.com,https://assetmanagement.com/products/real-estate,Product View,250,Paid,LinkedIn,03-10-2024
ruizkristi@martinezdavisandmoore.com,https://assetmanagement.com/insights/quarterly-report,Page View,39,Referral,Google,06-07-2024
hhatfield@hillbatesandkelly.com,https://assetmanagement.com/video/investment-strategies,Video View,259,Paid,Newsletter,14-11-2024
robert08@jonesevansandallen.com,https://assetmanagement.com/insights,Page View,112,Email,Newsletter Campaign,23-10-2024
rflores@mccann-johnson.com,https://assetmanagement.com/products/etf,Product View,221,Paid,Newsletter,02-07-2024
travis03@johnson-sosa.com,https://assetmanagement.com/products/esg,Product View,213,Email,Newsletter Campaign,11-09-2024
nicholsonapril@nashplc.com,https://assetmanagement.com/products/fixed-income,Product View,300,Referral,Newsletter,12-10-2024
julie76@wood-frey.com,https://assetmanagement.com/video/market-trends,Video View,239,Direct,Google,10-11-2024
thomasfitzpatrick@williamsandsons.com,https://assetmanagement.com/contact-us,Form Submission,287,Paid,Google,16-07-2024
lsutton@jacobsgroup.com,https://assetmanagement.com/products/fixed-income,Product View,265,Paid,Twitter,23-12-2024
rhurst@larsongroup.com,https://assetmanagement.com/products/real-estate,Product View,233,Referral,Twitter,13-12-2024
jennifer85@jonesgroup.com,https://assetmanagement.com/insights/quarterly-report,Page View,58,Organic,Twitter,12-12-2024
tinaterry@shawbaileyandsmith.com,https://assetmanagement.com/video/investment-strategies,Video View,245,Organic,Newsletter,20-07-2024
campbellpeggy@robinsonandsons.com,https://assetmanagement.com/insights,Page View,298,Organic,LinkedIn,21-06-2024
vasquezerica@stronggonzalezandmorales.com,https://assetmanagement.com/products/etf,Product View,295,Organic,LinkedIn,18-10-2024
ysingh@morrisinc.com,https://assetmanagement.com/products/esg,Product View,245,Email,Newsletter Campaign,27-12-2024
omunoz@curtisltd.com,https://assetmanagement.com/products/fixed-income,Product View,86,Referral,Google,17-08-2024
geoffrey61@adamshoffmanandsims.com,https://assetmanagement.com/video/market-trends,Video View,169,Referral,Twitter,16-10-2024
williejohnson@montgomery-zimmerman.com,https://assetmanagement.com/products/esg/esg-fund-prospect,Download,462,Email Campaign,Direct,15-01-2025
lauren40@jameslynnandoneill.com,https://assetmanagement.com/about-us,Page View,125,Direct,Google,11-07-2024
kellykatie@johnsonmooreandbrown.com,https://assetmanagement.com/products/real-estate,Product View,273,Paid,Twitter,12-11-2024
aaron93@cortez-howell.com,https://assetmanagement.com/about-us,Form Submit,118.7,Organic,LinkedIn,21-12-2024
stephenvazquez@smithinc.com,https://assetmanagement.com/video/investment-strategies,Video View,88,Email,Newsletter Campaign,15-08-2024
zchapman@brown-richardson.com,https://assetmanagement.com/insights,Page View,179,Email,Newsletter Campaign,04-01-2025
michaelromero@morris-ryan.com,https://assetmanagement.com/products/etf,Product View,148,Referral,Twitter,29-10-2024
flynnjohn@hillltd.com,https://assetmanagement.com/products/esg,Product View,51,Paid,Newsletter,08-09-2024
jacksonjaime@powellinc.com,https://assetmanagement.com/products/fixed-income,Product View,161,Direct,Twitter,23-07-2024
julie76@wood-frey.com,https://assetmanagement.com/video/market-trends,Video View,242,Organic,Newsletter,22-09-2024
bowerskimberly@harrellwongandwilliams.com,https://assetmanagement.com/contact-us,Form Submission,269,Email,Newsletter Campaign,10-07-2024
boltonkendra@kempmartinandwalker.com,https://assetmanagement.com/about-us,Page View,175,Paid,LinkedIn,10-11-2024
russelllinda@carlsonallenandjackson.com,https://assetmanagement.com/products/real-estate,Product View,180,Organic,Google,21-09-2024
mmartinez@jonesplc.com,https://assetmanagement.com/products/etf,Product View,218,Direct,Google,18-12-2024
deanmckenzie@simpsonplc.com,https://assetmanagement.com/video/investment-strategies,Video View,204,Referral,Twitter,20-06-2024
sburnett@larsonandsons.com,https://assetmanagement.com/products/real-estate,Product View,253,Direct,Newsletter,06-12-2024
emorris@moorejamesandgreen.com,https://assetmanagement.com/products/etf,Product View,183,Direct,Google,03-01-2025
ysingh@morrisinc.com,https://assetmanagement.com/products/esg,Product View,194,Organic,Google,11-10-2024
nichole03@martincarneyandtate.com,https://assetmanagement.com/products/fixed-income,Product View,43,Direct,Newsletter,28-12-2024
dawnsmith@jamesreyesandrhodes.com,https://assetmanagement.com/video/market-trends,Video View,170,Email,Newsletter Campaign,18-06-2024
russelllinda@carlsonallenandjackson.com,https://assetmanagement.com/contact-us,Form Submission,174,Paid,Google,19-10-2024
