Advisor ID,Name,Firm Name,Age,Email Address,City,State,Country,Client Industry,Insert date,Last update date,Phone number,Client,Data Hygiene,Lead AM,November,December
SalA048, Lawrence Little,Ellis Ltd,47,lawrencelittle@ellisltd.com,East Timothy,Kentucky,American Samoa,Family Office,21-01-2024,21-01-2024,12698944676,Prospect,Stale Records,Sales AM 1,Active Client,Non Supporters
SalA049, Stephen Vazquez,Smith Inc,35,stephenvazquez@smithinc.com,Garciabury,Pennsylvania,Uruguay,Broker Dealer,08-08-2024,14-08-2024,14598084463,Client,Healthy data,Sales AM 1,Potential Client,Potential Client
SalA050, Kenneth Clark,Clark-Cox,38,kenneth60@clark-cox.com,Spencerview,Wyoming,Belize,Family Office,26-03-2024,27-11-2024,15880188249,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA051,Ryan Reynolds,Crawford Group,49,john54@crawfordgroup.com,Deborahmouth,Virginia,Indonesia,Institutional Investor,11-05-2024,11-05-2024,16908179186,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA052, S. Fletcher ,Evans-Mullins,39,sfletcher@evans-mullins.com,Port Miketon,Texas,Slovakia (Slovak Republic),Financial Advisor,08-08-2024,10-09-2024,10723403022,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA053, O. Munoz ,Curtis Ltd,32,omunoz@curtisltd.com,Katherineside,South Carolina,Nauru,Financial Advisor,28-03-2024,03-07-2024,19069987219,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA054, Marie Adams,"Hopkins, Porter and Jimenez",32,adamsmarie@hopkinsporterandjimenez.com,North Morganfort,Florida,Kazakhstan,Family Office,17-04-2024,09-06-2024,18728480550,Client,Healthy data,Sales AM 1,Potential Client,Potential Client
SalA055, Thomas Cooper,King-Peterson,44,cooperthomas@king-peterson.com,Jacksontown,New Mexico,Botswana,RIA,06-10-2024,06-10-2024,18089039003,Client,Healthy data,Sales AM 1,Early Client,Active Client
SalA056, Tammy Reyes,Reyes and Sons,46,tammy97@reyesandsons.com,Huntermouth,Colorado,Macao,RIA,28-03-2024,28-03-2024,16112382540,Client,Healthy data,Sales AM 1,Potential Client,Potential Client
SalA057, Karen Jones,Rodriguez Ltd,36,joneskaren@rodriguezltd.com,West Charleschester,Connecticut,Tokelau,Financial Advisor,12-04-2024,03-08-2024,16293507575,Former Client,Healthy data,Sales AM 1,Former Client,Former Client
SalA058, Linda Russell,"Carlson, Allen and Jackson",46,russelllinda@carlsonallenandjackson.com,Jessestad,Michigan,Cote d'Ivoire,RIA,25-06-2024,03-10-2024,18489112348,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA059, Marcus May,Dean LLC,43,marcusmay@deanllc.com,Annachester,Arizona,Algeria,Institutional Investor,05-08-2024,07-08-2024,17376626392,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA060, Megan Valdez,"Evans, Howell and Young",33,meganvaldez@evanshowellandyoung.com,Kennethmouth,Maine,Brazil,Financial Advisor,14-01-2024,13-11-2024,15476214502,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA061, V. Gordon ,Bennett-Sullivan,33,vgordon@bennett-sullivan.com,East Susan,Indiana,Antarctica (the territory South of 60 deg S),Financial Advisor,26-02-2024,28-08-2024,12212718689,Client,Healthy data,Sales AM 1,Former Client,Active Client
SalA062,Allison Walters,Lyons Group,30,christopher73@lyonsgroup.com,North Matthewside,Utah,Sweden,Broker Dealer,25-01-2024,25-01-2024,17725523687,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA063, Kaitlyn Blankenship,"Black, Wells and Walker",42,kaitlynblankenship@blackwellsandwalker.com,Kathrynmouth,Arkansas,Germany,Family Office,29-02-2024,05-07-2024,19023919121,Former Client,Healthy data,Sales AM 1,Former Client,Former Client
SalA064, B. Hines ,Lee Inc,43,bhines@leeinc.com,Matthewsshire,Michigan,Aruba,RIA,27-06-2024,04-10-2024,12677175048,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA065, R. Flores ,Mccann-Johnson,34,rflores@mccann-johnson.com,New Ashley,Wyoming,Germany,Institutional Investor,31-01-2024,31-01-2024,18475816261,Client,Healthy data,Sales AM 1,Potential Client,Potential Client
SalA066,Beth Bridges,"Webb, Powell and Tucker",50,jody98@webbpowellandtucker.com,Rachelfort,Wyoming,Andorra,Broker Dealer,11-04-2024,11-04-2024,13717173118,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA067, Mary Carney,"Carney, Spencer and Santos",45,mary27@carneyspencerandsantos.com,Lake Lisashire,Alabama,Austria,Institutional Investor,26-06-2024,26-06-2024,10689454861,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA068, Shelton Williams,"Gibson, Welch and Taylor",49,williamshelton@gibsonwelchandtaylor.com,Shepardton,Massachusetts,Montenegro,RIA,28-08-2024,28-08-2024,13601691013,Client,Healthy data,Sales AM 1,Potential Client,Potential Client
SalA069, Q. Wall ,Hanna-Sloan,50,qwall@hanna-sloan.com,North Nicholasmouth,Hawaii,Japan,Institutional Investor,24-05-2024,24-05-2024,12216042371,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA070, Kayla Moore,Moore and Sons,31,kayla73@mooreandsons.com,West Mariastad,Georgia,Bangladesh,Broker Dealer,29-04-2024,21-08-2024,13533391065,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA071, Pamela Morris,Lee-Anderson,37,morrispamela@lee-anderson.com,East Elizabethtown,Utah,Kiribati,Broker Dealer,13-02-2024,13-02-2024,14090609703,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA072, F. Vega ,Williams-Fleming,31,fvega@williams-fleming.com,West Jameshaven,Iowa,Paraguay,Family Office,19-09-2024,19-09-2024,17360360056,Former Client,Healthy data,Sales AM 1,Former Client,Former Client
SalA073, Kevin Hood,"Hood, Harrison and Blackwell",38,kevin02@hoodharrisonandblackwell.com,Mariafort,Tennessee,Liechtenstein,Financial Advisor,01-04-2024,20-12-2024,18137217328,Former Client,Healthy data,Sales AM 1,Former Client,Former Client
SalA074, S. Carr ,"Sullivan, Khan and Jacobs",49,scarr@sullivankhanandjacobs.com,North Jennifermouth,Nevada,Turkey,RIA,28-05-2024,29-09-2024,18686170043,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA075, Kevin Moore,Walsh-Pruitt,48,moorekevin@walsh-pruitt.com,Malonemouth,Utah,Chile,RIA,21-01-2024,21-01-2024,14897323129,Prospect,Stale Records,Sales AM 1,Active Client,Non Supporters
SalA076, F. Brown ,Keith-Sims,35,fbrown@keith-sims.com,Markfort,New York,Netherlands Antilles,Institutional Investor,21-01-2024,21-01-2024,16468378224,Prospect,Stale Records,Sales AM 1,Active Client,Non Supporters
SalA077, Michael Briggs,Rogers Group,48,michaelbriggs@rogersgroup.com,Natalieborough,Virginia,Eritrea,Institutional Investor,26-03-2024,29-07-2024,13510859131,Client,Healthy data,Sales AM 1,Former Client,Potential Client
SalA078, Y. Singh ,Morris Inc,37,ysingh@morrisinc.com,East Perry,Delaware,Belgium,Family Office,30-01-2024,12-05-2024,16845531836,Former Client,Healthy data,Sales AM 1,Non Supporters,Former Client
SalA079, Erika Thompson,Hopkins-Burgess,42,erikathompson@hopkins-burgess.com,Oliverchester,Missouri,Czech Republic,Broker Dealer,08-01-2024,25-04-2024,15961344146,Former Client,Healthy data,Sales AM 1,Active Client,Former Client
SalA080, H. Hatfield ,"Hill, Bates and Kelly",39,hhatfield@hillbatesandkelly.com,Brownshire,Utah,Switzerland,Financial Advisor,11-09-2024,11-09-2024,11807069477,Client,Healthy data,Sales AM 1,Former Client,Potential Client
SalA081, David Casey,Martin LLC,45,caseydavid@martinllc.com,East Melissafort,Washington,Madagascar,Financial Advisor,16-09-2024,16-09-2024,13695996863,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA082, Austin Riggs,"Riggs, Smith and Jones",31,austin15@riggssmithandjones.com,South Katieberg,Missouri,Turkey,RIA,29-03-2024,29-03-2024,,Prospect,Missing Record,Sales AM 1,Potential Client,Non Supporters
SalA083, Tristan Pennington,"Nguyen, Clark and Williams",42,penningtontristan@nguyenclarkandwilliams.com,South Jamesstad,Indiana,Central African Republic,Institutional Investor,05-01-2024,21-01-2024,10408414382,Prospect,Stale Records,Sales AM 1,Non Supporters,Non Supporters
SalA084, Kimberly Scott,"Scott, Grimes and Soto",48,kimberly72@scottgrimesandsoto.com,West Jesse,Indiana,Niue,Broker Dealer,02-05-2024,02-05-2024,15754987369,Former Client,Healthy data,Sales AM 1,Active Client,Former Client
SalA085, Amanda Williams,Williams-Austin,37,amanda01@williams-austin.com,Jamiemouth,Hawaii,United Kingdom,RIA,20-04-2024,27-08-2024,,Former Client,Missing Record,Sales AM 1,Active Client,Former Client
SalA086, X. Jones ,Martinez PLC,43,xjones@martinezplc.com,Greentown,Arizona,Somalia,Financial Advisor,19-05-2024,19-05-2024,13304336663,Client,Healthy data,Sales AM 1,Active Client,Active Client
SalA087, James Nguyen,Gould-Brown,33,nguyenjames@gould-brown.com,Christopherchester,Vermont,Tajikistan,Institutional Investor,21-01-2024,21-01-2024,18055192713,Prospect,Stale Records,Sales AM 1,Non Supporters,Non Supporters
SalA088, Thomas Cameron,"Richmond, Owens and Romero",38,cameronthomas@richmondowensandromero.com,Herreraville,Minnesota,Czech Republic,Broker Dealer,21-01-2024,21-01-2024,18844223357,Prospect,Stale Records,Sales AM 1,Non Supporters,Non Supporters
SalA089,Shannon Osborn,Henderson Inc,49,osmith@hendersoninc.com,Claudiaburgh,Florida,Niger,Institutional Investor,10-01-2024,28-09-2024,11996635311,Client,Healthy data,Sales AM 1,Non Supporters,Potential Client
SalA090, J. Cook ,Savage-Calhoun,50,jcook@savage-calhoun.com,Christopherborough,Virginia,Heard Island and McDonald Islands,Institutional Investor,21-01-2024,21-01-2024,15647919898,Prospect,Stale Records,Sales AM 1,Non Supporters,Non Supporters
SalA091,Brandon Craig,Brown-Richardson,48,,New Carolynberg,Louisiana,Monaco,Family Office,09-01-2024,22-09-2024,11648940405,Prospect,Missing Record,Sales AM 1,Non Supporters,Non Supporters
SalA092, Amanda Stewart,"Bullock, Burns and Stevens",49,stewartamanda@bullockburnsandstevens.com,West Amanda,Massachusetts,Nigeria,RIA,29-05-2024,29-05-2024,19023217938,Former Client,Healthy data,Sales AM 1,Active Client,Former Client
SalA093,Christopher Fernandez,"Jones, Evans and Allen",49,,Jacobsmouth,Oregon,Albania,RIA,26-09-2024,26-09-2024,19322483745,Prospect,Missing Record,Sales AM 1,Non Supporters,Non Supporters
SalA094,Harry Weber,"Ferguson, Moore and Walker",37,,Reyesmouth,Florida,Sri Lanka,Financial Advisor,18-01-2024,03-11-2024,16335139574,Prospect,Missing Record,Sales AM 1,Non Supporters,Non Supporters
SalA095, Alicia James,"James, Miller and Pineda",36,alicia78@jamesmillerandpineda.com,Shellyhaven,North Dakota,Tunisia,Institutional Investor,05-08-2024,21-10-2024,19976571605,Former Client,Healthy data,Sales AM 1,Active Client,Former Client
SalA096, K. Young ,Nunez-Nguyen,36,kyoung@nunez-nguyen.com,Port Rebeccatown,Nevada,Namibia,Family Office,19-02-2024,19-02-2024,16195384079,Former Client,Healthy data,Sales AM 1,Potential Client,Former Client
SalA097,Kenneth Hopkins,Woods LLC,39,,Guerraland,Texas,Croatia,Family Office,21-01-2024,21-01-2024,16187675765,Prospect,Stale Records,Sales AM 1,Non Supporters,Non Supporters
SalA098,Cathy West,"Martin, Carney and Tate",44,,Lake Carolineland,Utah,Nepal,Broker Dealer,21-01-2024,21-01-2024,11776106788,Prospect,Stale Records,Sales AM 1,Active Client,Non Supporters
SalA099, Catherine Williams,Lee LLC,48,catherinewilliams@leellc.com,New Andrewburgh,Louisiana,Northern Mariana Islands,Financial Advisor,09-01-2024,09-01-2024,16546964776,Former Client,,Sales AM 2,Potential Client,Potential Client
SalA100, Christina Campbell,"Campbell, Hill and Parrish",47,christina05@campbellhillandparrish.com,Samuelstad,Mississippi,Tuvalu,Institutional Investor,14-04-2024,12-10-2024,19330448233,Client,,Sales AM 2,Potential Client,Former Client
SalA101,Zoe Campbell,Hill-Williams,42,zcampbell@hill-williams.com,Christopherfort,Virginia,Samoa,Family Office,11-02-2024,11-02-2024,12932137668,Former Client,,Sales AM 2,Active Client,Former Client
SalA102, Duane Jackson,Jackson-Sanchez,37,duane85@jackson-sanchez.com,South Anaside,New Hampshire,Kyrgyz Republic,Broker Dealer,21-03-2024,21-03-2024,15773858423,Client,,Sales AM 2,Potential Client,Former Client
SalA103, Tyler Hubbard,Caldwell-Salinas,33,hubbardtyler@caldwell-salinas.com,Brendaborough,Florida,Lao People's Democratic Republic,Institutional Investor,27-05-2024,13-06-2024,11710515114,Prospect,,Sales AM 2,Non Supporters,Former Client
SalA104, Brad Curtis,Long-Molina,45,bradcurtis@long-molina.com,Alanland,Oregon,Cambodia,Broker Dealer,08-11-2024,08-11-2024,,Former Client,Missing Record,Sales AM 2,Active Client,Former Client
SalA105, Joshua Park,Murray-Kirk,45,joshuapark@murray-kirk.com,East Samantha,Maine,Cyprus,Financial Advisor,23-02-2024,23-02-2024,12745942105,Former Client,,Sales AM 2,Active Client,Former Client
SalA106,Scott Joyce,"Lopez, Moore and Williamson",49,scottjoyce@lopezmooreandwilliamson.com,West Catherine,,Guam,Broker Dealer,01-01-2024,01-09-2024,14837890900,Former Client,Missing Record,Sales AM 2,Potential Client,Potential Client
SalA107, April Nicholson,Nash PLC,38,nicholsonapril@nashplc.com,Shelbyshire,New Jersey,Reunion,Family Office,18-06-2024,18-06-2024,17413706557,Former Client,,Sales AM 2,Active Client,Former Client
SalA108, Aaron Cortez,Cortez-Howell,38,aaron93@cortez-howell.com,North Christine,Ohio,Greenland,RIA,08-06-2024,08-06-2024,10985569562,Prospect,,Sales AM 2,Non Supporters,Former Client
SalA109, Emily Robinson,"Dunn, Villarreal and Castro",45,emilyrobinson@dunnvillarrealandcastro.com,Howardberg,Alabama,Palau,Broker Dealer,12-03-2024,12-03-2024,14322134420,Client,,Sales AM 2,Potential Client,Former Client
SalA110,Joseph Leach,Ryan-Rivera,45,josephleach@ryan-rivera.com,West Melissa,California,Cocos (Keeling) Islands,Family Office,13-08-2024,13-08-2024,10859579205,Prospect,,Sales AM 2,Non Supporters,Former Client
SalA111, Jennifer Jones,Jones Group,31,jennifer85@jonesgroup.com,Claytonland,Kansas,Isle of Man,Financial Advisor,10-08-2024,10-08-2024,19436612758,Former Client,,Sales AM 2,Active Client,Former Client
SalA112, Elizabeth Line,"Richards, Brooks and Marshall",45,linelizabeth@richardsbrooksandmarshall.com,South Richard,New Jersey,Tanzania,Broker Dealer,22-03-2024,29-07-2024,19629263835,Former Client,,Sales AM 2,Non Supporters,Former Client
SalA113, Ivan Coleman,"Cook, Howard and Randall",37,colemanivan@cookhowardandrandall.com,Danside,Indiana,Anguilla,Institutional Investor,30-04-2024,28-08-2024,15436930795,Prospect,,Sales AM 2,Non Supporters,Former Client
SalA114, Y. Kim ,Ingram Inc,40,ykim@ingraminc.com,,Mississippi,United States Virgin Islands,Broker Dealer,13-04-2024,13-04-2024,18476809180,Client,Missing Record,Sales AM 2,Early Client,Early Client
SalA115, Janet Gibbs,Gibbs Ltd,40,janet96@gibbsltd.com,South Hayley,Nebraska,Afghanistan,Broker Dealer,08-06-2024,08-06-2024,17100980245,Former Client,,Sales AM 2,Potential Client,Potential Client
SalA116, E. Morris ,"Moore, James and Green",38,emorris@moorejamesandgreen.com,Port Brad,Colorado,Jordan,Family Office,15-02-2024,15-02-2024,18403656863,Former Client,,Sales AM 2,Active Client,Former Client
SalA117,Steven Maxwell,"Powell, Parker and Chavez",46,amy39@powellparkerandchavez.com,Bakerton,North Dakota,Mayotte,Financial Advisor,02-03-2024,07-11-2024,14508274213,Prospect,,Sales AM 2,Non Supporters,Former Client
SalA118, Richard McCarty,"Walton, Webster and Patrick",46,mccartyrichard@waltonwebsterandpatrick.com,Port Josemouth,Wyoming,Central African Republic,RIA,06-04-2024,30-05-2024,14176573528,Prospect,,Sales AM 2,Non Supporters,Former Client
SalA119, Tina Wood,Wood and Sons,39,tina09@woodandsons.com,Tammyville,Illinois,United States of America,Broker Dealer,31-01-2024,22-11-2024,19458196466,Former Client,,Sales AM 2,Active Client,Former Client
SalA120, Heather Adams,"Adams, Rogers and Webb",42,heather68@adamsrogersandwebb.com,Ashleyfurt,Alabama,Brunei Darussalam,Broker Dealer,21-01-2024,21-01-2024,19771677490,Former Client,Stale Records,Sales AM 2,Former Client,Former Client
SalA121,Casey Davis,Fox-Chen,37,williamscarmen@fox-chen.com,Gallegosmouth,Kentucky,Nepal,RIA,28-01-2024,28-01-2024,19918470772,Client,,Sales AM 2,Potential Client,Former Client
SalA122,Elizabeth Gonzalez,"Harrell, Long and Duran",41,barrychapman@harrelllongandduran.com,Brownfurt,Maryland,Mexico,Institutional Investor,29-03-2024,17-05-2024,18381575370,Client,,Sales AM 2,Potential Client,Former Client
SalA123, James Carson,"Carson, Peck and Aguirre",45,james61@carsonpeckandaguirre.com,Port Debraview,Massachusetts,Italy,Financial Advisor,24-04-2024,24-04-2024,10255498204,Former Client,,Sales AM 2,Active Client,Former Client
